n,k,known
0,0.0,0.0
1000,999.0,635.2
2000,1996.8,1286.2
3000,2993.0,1926.8
4000,3987.8,2549.0
5000,4979.4,3202.0
6000,5972.2,3788.8
7000,6965.8,4478.6
8000,7946.4,5079.6
9000,8944.0,5729.6
10000,9921.4,6360.6
11000,10914.0,6982.0
12000,11893.4,7603.8
13000,12871.2,8241.6
14000,13856.2,8856.6
15000,14829.2,9476.6
16000,15803.8,10093.4
17000,16783.6,10756.2
18000,17760.6,11338.0
19000,18731.8,11969.8
20000,19708.2,12577.8
21000,20683.4,13200.8
22000,21636.2,13849.0
23000,22614.8,14431.8
24000,23560.6,15078.8
25000,24549.2,15691.4
26000,25495.2,16270.4
27000,26459.6,16881.0
28000,27419.6,17499.0
29000,28379.6,18080.6
30000,29320.6,18702.0
31000,30289.4,19298.4
32000,31239.8,19913.6
33000,32190.6,20523.8
34000,33158.8,21161.0
35000,34089.6,21717.0
36000,35058.6,22344.0
37000,35989.0,22926.8
38000,36950.4,23547.2
39000,37899.8,24127.0
40000,38843.0,24707.0
41000,39780.6,25316.2
