n,k,known
0,0.0,0.0
10000,9569.5,362.0
20000,18435.0,677.0
30000,26584.5,930.5
40000,34466.5,1110.5
50000,41727.5,1295.5
60000,48603.0,1481.5
70000,55460.0,1609.0
80000,61807.5,1717.5
90000,67934.5,1867.5
100000,73955.5,1951.0
110000,79512.5,2073.5
120000,85256.5,2173.5
130000,90619.5,2295.5
140000,95764.5,2373.5
150000,101002.5,2408.5
160000,105950.5,2512.5
170000,110779.5,2589.5
180000,115397.0,2638.0
190000,119967.5,2721.5
200000,124605.5,2798.5
210000,128972.0,2867.0
220000,133450.0,2933.5
230000,137808.0,3001.0
240000,141802.5,3038.5
250000,145986.5,3093.5
260000,149983.5,3171.0
270000,154341.5,3251.5
280000,158191.5,3282.0
290000,161688.0,3315.0
300000,165781.5,3327.5
310000,169324.0,3408.5
320000,172865.5,3453.0
330000,176726.0,3534.0
340000,180414.0,3531.5
350000,183861.5,3595.5
360000,187401.5,3611.5
370000,190849.0,3680.0
380000,194208.5,3714.5
390000,197781.5,3721.0
400000,200938.5,3764.0
410000,204368.0,3803.0
420000,207591.5,3842.0
430000,210455.5,3895.0
440000,213815.5,3925.0
450000,216858.5,3962.5
460000,220065.0,3983.5
470000,223233.0,4029.5
480000,226344.5,4058.0
490000,229359.5,4089.5
500000,232060.5,4114.0
510000,235325.5,4148.5
520000,237896.0,4196.5
530000,241187.5,4213.5
540000,243947.0,4228.0
550000,246840.5,4276.5
560000,249683.5,4281.0
570000,252576.5,4355.5
580000,255140.5,4343.0
590000,257997.0,4387.5
600000,260794.5,4401.0
610000,263359.5,4422.5
620000,266102.5,4454.0
630000,268864.5,4481.5
640000,271297.0,4513.5
650000,274020.5,4522.5
660000,276682.0,4574.0
670000,279156.5,4582.0
680000,281836.0,4606.5
690000,284306.5,4630.5
700000,286962.5,4662.0
710000,289458.5,4689.0
720000,291902.0,4703.0
730000,294400.0,4729.5
740000,296875.5,4749.5
