n,k
0,0.0
10000,3905.8
20000,7647.4
30000,11211.0
40000,14646.2
50000,17930.4
60000,21121.4
70000,24220.2
80000,27185.2
90000,29984.8
100000,32824.4
110000,35502.2
120000,38088.2
130000,40675.8
140000,43119.8
150000,45543.8
160000,47934.6
170000,50192.4
180000,52377.6
190000,54553.2
200000,56689.4
210000,58806.2
220000,60896.6
230000,62919.2
240000,64909.6
250000,66888.6
260000,68653.8
270000,70627.4
280000,72422.2
290000,74217.8
300000,75999.4
310000,77726.4
320000,79535.8
330000,81189.2
340000,82857.2
350000,84522.6
360000,86195.8
370000,87810.6
380000,89446.6
390000,90962.0
400000,92436.8
410000,94028.2
420000,95450.8
430000,97063.0
440000,98546.6
450000,99929.4
460000,101407.0
470000,102827.0
480000,104288.6
490000,105709.6
500000,107013.4
510000,108410.8
520000,109761.8
530000,111119.2
540000,112442.0
550000,113816.8
560000,115115.2
570000,116388.2
580000,117675.2
590000,118950.4
600000,120203.6
