n,k
0,0.0
10000,3908.2
20000,7644.6
30000,11212.8
40000,14686.2
50000,18031.0
60000,21240.0
70000,24364.2
80000,27449.8
90000,30434.0
100000,33308.6
110000,36272.2
120000,38973.6
130000,41716.2
140000,44483.2
150000,47118.6
160000,49761.0
170000,52293.0
180000,54773.8
190000,57338.6
200000,59796.6
210000,62193.6
220000,64651.8
230000,67014.8
240000,69338.0
250000,71644.4
260000,73956.6
270000,76239.8
280000,78505.4
290000,80794.4
300000,83013.0
310000,85081.6
320000,87290.6
330000,89440.6
340000,91541.4
350000,93696.2
360000,95788.6
370000,97813.2
380000,99880.8
390000,101976.6
400000,104017.4
410000,105990.0
420000,107999.2
430000,109953.0
440000,111933.6
