n,k,known
0,0.0,0.0
10000,9786.0,383.0
20000,19188.0,721.5
30000,28261.0,1031.0
40000,37059.5,1288.0
50000,45538.0,1524.0
60000,53766.0,1740.5
70000,61612.5,1927.5
80000,69468.5,2097.0
90000,77245.0,2307.5
100000,84641.0,2419.0
110000,91794.0,2568.5
120000,98873.0,2715.5
130000,105898.0,2828.5
140000,112937.0,2975.5
150000,119747.0,3035.5
160000,126476.5,3163.5
170000,132865.0,3287.5
180000,139261.0,3383.0
190000,145628.0,3462.0
200000,151887.0,3548.0
210000,157837.0,3613.0
220000,164205.0,3710.5
230000,170139.5,3832.0
240000,175829.5,3952.0
250000,181584.5,3947.0
260000,187430.5,4058.5
270000,193087.5,4137.5
280000,198546.5,4176.5
290000,204139.5,4239.5
300000,209695.5,4319.5
310000,215182.5,4397.5
320000,220175.0,4451.0
330000,225863.0,4488.5
340000,231036.0,4541.5
350000,236193.0,4641.5
360000,241555.5,4680.5
370000,246415.5,4727.0
380000,251488.5,4770.5
390000,256224.0,4769.0
400000,261282.0,4868.5
410000,266457.5,4929.5
420000,271246.5,4969.0
430000,275983.0,5006.0
440000,280678.0,5054.0
450000,285352.5,5102.5
460000,290240.0,5159.0
470000,294946.0,5186.5
480000,299482.5,5231.5
490000,304308.0,5280.0
500000,308771.5,5312.0
510000,313215.0,5357.0
520000,317728.5,5393.0
530000,322332.5,5426.0
540000,326635.5,5457.5
550000,330991.5,5501.0
560000,335313.0,5539.0
570000,339729.5,5574.5
